"id","name","isMine","harborId","lakeId","hasImg","nrPlate","type","location","pax","sailSize","length"
"132","mOcean 'emotion'","False","46","1","True","ZG 615","offenes Kielboot","Oberägeri - Bojenfeld","7","37 m²","7.97 m"
"161","mOcean","True","13","2","True","BE-80389 ","offenes Kielboot","Steg 6, Platz 282","8","37 m²","7.99 m"
"120","Moser m1 'Breeze do Brasil'","False","13","2","True","BE-32 756","Kabinenyacht","Steg 4, Platz Nr. 227","5","26 m²","7.02 m"
"137","Surprise 'Stellumo'","False","13","2","True","BE-34244","Kabinenyacht","quai 4, place no. 226","6","25 m²","7.65 m"
"143","Sunbeam 27 'Tirami su'","True","52","2","True","BE-20 029","Kabinenyacht","Vingelz - Damm - Nr:","7","39 m²","8.22 m"
"122","Hanse 291 'Argonauta II'","False","14","2","True","BE-32367","Kabinenyacht","Hafen Rousseau, Platz 62/132","6","33 m²","8.90 m"
"109","Dufour 1800 'Wahoo'","False","1","3","True","SG-3229","Kabinenyacht","Marina Rheinspitz, Nr. 418","6","24 m²","7.60 m"
"94","First Class 8 'Gioja'","False","2","3","True","TG-9324","Kabinenyacht","Alter Hafen, Platz Nr. 117","6","38 m²","8.50 m"
"164","mOcean Sailability.ch","False","2","3","True","TG 5612","offenes Kielboot","Steg 7 - Platz 739","8","37 m²","7.97 m"
"128","Sunwind 301 'Inari'","False","2","3","True","TG - 1387","Kabinenyacht","Schlosshafen, Steg 5, Platz 534","8","45 m²","9.25 m"
"153","Ecume-de-mer 'Levante'","False","3","3","True","SG 1247","Kabinenyacht","Hafen Goldach-Rietli, Platz Nr. 64 (Aussenmole)","6","38 m²","8.00 m"
"140","Hallberg-Rassy 31 Monsun","False","51","3","True","TG 2677","Kabinenyacht","Kreuzlingen Seepark / Hafen Westseite - Nr. 216","6","40 m²","9.36 m"
"152","mOcean","False","51","3","True","TG 7502","offenes Kielboot","Hafen Seegarten, Platz 215","7","37 m²","7.97 m"
"121","Etap 22i 'Mahana'","False","4","3","True","TG 3588","Kabinenyacht","Gemeindehafen, B 15","6","24 m²","6.78 m"
"169","mOcean","False","4","3","True","TG - 9395","offenes Kielboot","Gemeindehafen","8","37 m²","7.99 m"
"114","Sunwind 27 'Papillon'","False","4","3","True","TG-1884","Kabinenyacht","Gemeindehafen, Steg B, Platz 4 ","6","35 m²","8.27 m"
"124","Sunwind 312 'Ilmatar'","False","4","3","True","TG-3686","Kabinenyacht","SBS-Yachthafen Steg D, Platz 4","8","54 m²","9.40 m"
"181","Trimaran - Dash 750 MK II","False","4","3","True","TG-1155","Kabinenyacht","SBS Hafen - Steg D - Platz 55","7","38 m²","7.40 m"
"108","Kiebitz 22 'Pavoncella'","False","5","3","True","TG-1650","Kabinenyacht","Hafen Feldbach, Nr. 109","4","21 m²","6.80 m"
"171","Saphire 'Demoiselle'","False","60","4","True","GE - 20036","Kabinenyacht","No 109","6","40 m²","8.00 m"
"172","Surprise","False","60","4","True","GE -","Kabinenyacht","","6","25 m²","7.65 m"
"102","Elan 31 'Iceboat'","False","21","4","True","GE 14430","Kabinenyacht","Port Choiseul, Passerelle/Steg 400000, place/Platz 83","8","54 m²","9.90 m"
"166","Comet 1050 'Platypus'","False","22","4","True","VD 3148","Kabinenyacht","La Pichette S-12,  Môle extérieur/ Aussenmole","11","48 m²","10.20 m"
"66","Nomade 830 'Tzigane'","False","22","4","True","VD-14534","Kabinenyacht","La Pichette, No. S 19 ","7","42 m²","8.30 m"
